name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace
"R.<init>()","android.support.compat.R.<init>().ba47069b952bd943cedc07c046277d37",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/compat/R.java,9,10,N,"void R.<init>()(class android.support.compat.R *this)",0,0.00,0.00,0,0,9
"R.<init>()","android.support.coreui.R.<init>().262ac0f9dcd1a123b5ab4898ee71bd74",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/coreui/R.java,9,10,N,"void R.<init>()(class android.support.coreui.R *this)",0,0.00,0.00,0,0,9
"R.<init>()","android.support.coreutils.R.<init>().3320a84eef0d6ece12740b4b389434a7",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/coreutils/R.java,9,10,N,"void R.<init>()(class android.support.coreutils.R *this)",0,0.00,0.00,0,0,9
"R.<init>()","android.support.fragment.R.<init>().f7d54e81f02c0eed3192d516d99ad992",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/fragment/R.java,9,10,N,"void R.<init>()(class android.support.fragment.R *this)",0,0.00,0.00,0,0,9
"R.<init>()","android.support.graphics.drawable.R.<init>().f3b25fc8697df0694efff431cd3854ea",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/graphics/drawable/R.java,9,10,N,"void R.<init>()(class android.support.graphics.drawable.R *this)",0,0.00,0.00,0,0,9
"R.<init>()","android.support.graphics.drawable.animated.R.<init>().ce3c678250d3ac7068e626f7b68bca6e",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/graphics/drawable/animated/R.java,9,10,N,"void R.<init>()(class android.support.graphics.drawable.animated.R *this)",0,0.00,0.00,0,0,9
"R.<init>()","android.support.mediacompat.R.<init>().9f3baaa0ed75e9367e4857c441275776",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/mediacompat/R.java,9,10,N,"void R.<init>()(class android.support.mediacompat.R *this)",0,0.00,0.00,0,0,9
"R.<init>()","android.support.v4.R.<init>().f920cedb910e78609d38e7934aac0464",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/v4/R.java,9,10,N,"void R.<init>()(class android.support.v4.R *this)",0,0.00,0.00,0,0,9
"R$anim.<init>()","android.support.v7.appcompat.R$anim.<init>().f68e2a40968ed1ae2105235a559e53e3",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/v7/appcompat/R.java,10,1458,N,"void R$anim.<init>()(class android.support.v7.appcompat.R$anim *this)",0,0.00,0.00,0,0,10
"R$attr.<init>()","android.support.v7.appcompat.R$attr.<init>().4b16d7fc86ee53922e807a698bc8357d",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/v7/appcompat/R.java,22,1458,N,"void R$attr.<init>()(class android.support.v7.appcompat.R$attr *this)",0,0.00,0.00,0,0,22
"R$bool.<init>()","android.support.v7.appcompat.R$bool.<init>().513ca66bdb7dafd8acb4586d6a3df2bb",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/v7/appcompat/R.java,252,1458,N,"void R$bool.<init>()(class android.support.v7.appcompat.R$bool *this)",0,0.00,0.00,0,0,252
"R$color.<init>()","android.support.v7.appcompat.R$color.<init>().546aaf3a2fb56fdd919aef26f66f748b",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/v7/appcompat/R.java,259,1458,N,"void R$color.<init>()(class android.support.v7.appcompat.R$color *this)",0,0.00,0.00,0,0,259
"R$dimen.<init>()","android.support.v7.appcompat.R$dimen.<init>().fb798a637dc4343e2941e978b09f58c1",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/v7/appcompat/R.java,343,1458,N,"void R$dimen.<init>()(class android.support.v7.appcompat.R$dimen *this)",0,0.00,0.00,0,0,343
"R$drawable.<init>()","android.support.v7.appcompat.R$drawable.<init>().cf808912f82bfd1a8d5a10da59e92e52",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/v7/appcompat/R.java,443,1458,N,"void R$drawable.<init>()(class android.support.v7.appcompat.R$drawable *this)",0,0.00,0.00,0,0,443
"R$id.<init>()","android.support.v7.appcompat.R$id.<init>().1f75df18e6e355ba7ad762e5c8742eb3",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/v7/appcompat/R.java,540,1458,N,"void R$id.<init>()(class android.support.v7.appcompat.R$id *this)",0,0.00,0.00,0,0,540
"R$integer.<init>()","android.support.v7.appcompat.R$integer.<init>().12f2d1314790885f504ff6caa5d2f05e",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/v7/appcompat/R.java,651,1458,N,"void R$integer.<init>()(class android.support.v7.appcompat.R$integer *this)",0,0.00,0.00,0,0,651
"R$layout.<init>()","android.support.v7.appcompat.R$layout.<init>().04d947bc25187c80d4b4694ea86e6ae2",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/v7/appcompat/R.java,657,1458,N,"void R$layout.<init>()(class android.support.v7.appcompat.R$layout *this)",0,0.00,0.00,0,0,657
